"Datum","Standort","Parameter","Intervall","Einheit","Wert","Status"
"2023-06-25T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",357.45,"provisorisch"
"2023-06-25T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",29.2,"provisorisch"
"2023-06-25T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",24.15,"provisorisch"
"2023-06-25T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",NA,"provisorisch"
"2023-06-25T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",970.13,"provisorisch"
"2023-06-25T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",29.67,"provisorisch"
"2023-06-25T00:00+0100","Zch_Rosengartenstrasse","T","d1","°C",23.39,"provisorisch"
"2023-06-25T00:00+0100","Zch_Rosengartenstrasse","RainDur","d1","min",0.02,"provisorisch"
"2023-06-25T00:00+0100","Zch_Rosengartenstrasse","p","d1","hPa",967.85,"provisorisch"
"2023-06-25T00:00+0100","Zch_Rosengartenstrasse","T_max_h1","d1","°C",29.44,"provisorisch"
"2023-06-26T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",25.31,"provisorisch"
"2023-06-26T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",0,"provisorisch"
"2023-06-26T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",968.04,"provisorisch"
"2023-06-26T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",316.31,"provisorisch"
"2023-06-26T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",30.46,"provisorisch"
"2023-06-26T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",NA,"provisorisch"
"2023-06-26T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",NA,"provisorisch"
"2023-06-26T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",NA,"provisorisch"
"2023-06-26T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",NA,"provisorisch"
"2023-06-26T00:00+0100","Zch_Rosengartenstrasse","T","d1","°C",24.75,"provisorisch"
"2023-06-26T00:00+0100","Zch_Rosengartenstrasse","RainDur","d1","min",0,"provisorisch"
"2023-06-26T00:00+0100","Zch_Rosengartenstrasse","p","d1","hPa",968.08,"provisorisch"
"2023-06-26T00:00+0100","Zch_Rosengartenstrasse","T_max_h1","d1","°C",29.94,"provisorisch"
"2023-06-27T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",22.08,"provisorisch"
"2023-06-27T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",0,"provisorisch"
"2023-06-27T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",969.55,"provisorisch"
"2023-06-27T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",280,"provisorisch"
"2023-06-27T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",25.03,"provisorisch"
"2023-06-27T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",NA,"provisorisch"
"2023-06-27T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",NA,"provisorisch"
"2023-06-27T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",NA,"provisorisch"
"2023-06-27T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",NA,"provisorisch"
"2023-06-27T00:00+0100","Zch_Rosengartenstrasse","T","d1","°C",21.56,"provisorisch"
"2023-06-27T00:00+0100","Zch_Rosengartenstrasse","RainDur","d1","min",0,"provisorisch"
"2023-06-27T00:00+0100","Zch_Rosengartenstrasse","p","d1","hPa",969.64,"provisorisch"
"2023-06-27T00:00+0100","Zch_Rosengartenstrasse","T_max_h1","d1","°C",25.69,"provisorisch"
"2023-06-28T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",21.5,"provisorisch"
