"id","lokalisationsname","messwert_von","messwert_bis","temporegime","temporegime_technical","umgesetzt_datum","rechtskraeftig_datum","publiziert_vsi_datum","ausnahmen_fahrverbot","fahrverbot_ssv","objectid"
"1377","Studackerstrasse","0.00000000","77.10900000","T30","T30","","","","","","6450"
"1386","Säntisstrasse","0.00000000","156.01100000","T30","T30","20000128000000","","","","","6451"
"1390","Oberer Gloriasteig","0.00000000","142.79200000","Fahrverbot","T0","","","","","","6452"
"1395","Spielweg","0.00000000","92.84500000","Fahrverbot","T0","","","","","","6453"
"1404","Bullingerhof","361.12800000","396.32700000","Fahrverbot","T0","","","","","","6454"
"1409","Tuggenerweg","24.00000000","99.43900000","Fahrverbot","T0","","","","","","6455"
"1411","Weinbergfussweg","0.00000000","198.09000000","Fahrverbot","T0","","","","","","6456"
"1412","Wolfgrimweg","0.00000000","203.92800000","Fahrverbot","T0","","","","","","6457"
"1420","Maienstrasse","213.46800000","292.77100000","Fahrverbot","T0","","","","","","6458"
"1421","Meientalstrasse","233.49800000","292.92700000","Fahrverbot","T0","","","","","","6459"
"1428","Herterbrücke","0.00000000","23.50000000","Fahrverbot","T0","","","","","","6460"
"1435","Sempersteig","0.00000000","93.94800000","Fahrverbot","T0","","","","","","6461"
"1439","Pfalzgasse","0.00000000","48.27500000","Fahrverbot","T0","","","","","","6462"
"1443","Schneeglöggliweg","0.00000000","230.36300000","Fahrverbot","T0","","","","","","6463"
"1455","Louis-Häfliger-Park","72.13000000","224.62500000","Fahrverbot","T0","","","","","","6464"
"4891","Eggenschwilerweg","27.65900000","75.11300000","Fahrverbot","T0","","","","","","6465"
"4892","namenlos138","0.00000000","53.83000000","Fahrverbot","T0","","","","","2.01 Allgemeines Fahrverbot ","6466"
"4895","namenlos243","0.00000000","117.00000000","Fahrverbot","T0","","","","","","6467"
"4901","Opfikonstrasse","184.64000000","206.49500000","Fahrverbot","T0","","","","","","6468"
"4108","Nüschelerstrasse","0.00000000","258.70800000","T50","T50","","","","","","6469"
"4109","Friesenbergstrasse","0.00000000","84.62900000","T30","T30","20190612000000","","","","","6470"
"4449","Bellerivestrasse","1641.00700000","1890.70200000","T60","T60","","","","","","6471"
"4454","Ernst-Nobs-Platz","67.97500000","111.70300000","T50","T50","","","","","","6472"
"4458","Höhenring","0.00000000","80.09000000","T20","T20","20181208000000","","","","","6473"
"4463","St. Peterstrasse","109.63100000","240.90900000","T50","T50","","","","","","6474"
"4701","namenlos16","0.00000000","75.11100000","Fahrverbot","T0","","","","","","6475"
"4709","Stettbachstrasse","512.31100000","580.00500000","T30","T30","","","","","","6476"
"4711","Herzogenmühlestrasse","763.49500000","810.92800000","Fahrverbot","T0","","","","","","6477"
"4914","Alte Zürichstrasse","0.00000000","26.24600000","Fahrverbot","T0","","","","","","6478"
"4922","Langgrütweg","710.66300000","856.06000000","Fahrverbot","T0","","","","","","6479"
"4119","namenlos163","263.52200000","295.84300000","Fahrverbot","T0","","","","","","6480"
"4126","namenlos54","200.54500000","235.30200000","Fahrverbot","T0","","","","","","6481"
"4469","Merkurstrasse","0.00000000","167.35200000","T50","T50","","","","","","6482"
"4477","Nordbrücke","0.00000000","72.78700000","T30","T30","20190201000000","","","","","6483"
"4714","Im Holzerhurd","269.50500000","349.46200000","T50","T50","","","","","","6484"
"4719","Krattenturmstrasse","0.00000000","46.88100000","Fahrverbot","T0","20181114000000","20180330000000","20180228000000","ausgenommen Zubringerdienst","2.14 Verbot für Motorwagen, Motorräder u. Motorfahrräder","6485"
"3974","Mühleweg","0.00000000","194.83200000","Fahrverbot","T0","","","","","","6486"
"4933","namenlos105","92.15300000","156.97700000","Fahrverbot","T0","","","","","","6487"
"4936","namenlos327","0.00000000","145.79600000","T50","T50","","","","","","6488"
"4131","Ligusterstrasse","94.21900000","256.94000000","T20","T20","20220524000000","","","","","6489"
"4135","namenlos312","99.53100000","201.57900000","Fahrverbot","T0","","","","","","6490"
"4142","namenlos66","0.00000000","80.31100000","Fahrverbot","T0","","","","","","6491"
"4492","Tödistrasse","0.00000000","389.76500000","T30","T30","20180626000000","","","","","6492"
"4500","Asylstrasse","434.58700000","448.73700000","T30","T30","20180919000000","","","","","6493"
"4504","Südstrasse","187.88200000","297.62200000","T30","T30","20200121000000","","","","","6494"
"3982","Lenggstrasse","0.00000000","147.89400000","T30","T30","20180919000000","","","","","6495"
"3990","Waidstrasse","390.60200000","505.02400000","T30","T30","","","","","","6496"
"3992","Wechselwiesenstrasse","0.00000000","134.84700000","T30","T30","","","","","","6497"
"3998","Körnerstrasse","0.00000000","92.63500000","T30","T30","","","","","","6498"
"4943","Bahnhofplatz","91.12200000","246.60800000","T50","T50","","","","","","6499"
"4955","Bernerstrasse Süd","1358.09500000","1511.49800000","T60","T60","","","","","","6500"
"4150","namenlos10","124.70500000","266.15600000","Fahrverbot","T0","","","","","","6501"
"4509","Batteriestrasse","0.00000000","41.34300000","T30","T30","20181114000000","","","","","6502"
"4515","Letziweg","0.00000000","56.58800000","T30","T30","20181114000000","","","","","6503"
"4956","Hardturmstrasse","1310.97500000","1367.94900000","T50","T50","","","","","","6504"
"4959","Wehntalerstrasse","5488.00800000","5741.37300000","T60","T60","","","","","","6505"
"4966","Ueberlandstrasse","2795.65000000","3527.84100000","T50","T50","20211215000000","","","","","6506"
"4974","Zypressenstrasse","0.00000000","215.42500000","T30","T30","20170725000000","","","","","6507"
"4162","Stiglenstrasse","391.76700000","628.99800000","T30","T30","","","","","","6508"
"4164","namenlos148","0.00000000","79.04900000","Fahrverbot","T0","","","","","","6509"
"4521","Entlisbergstrasse","0.00000000","89.89500000","T30","T30","","","","","","6510"
