,Unnamed: 0.1,Datum,TotalDailyTraffic,Street,NO,NO2,NOx,O3,O3_max_h1,O3_nb_h1>120,PM10,PM2.5,CO,SO2,PN,RainDur,T,T_max_h1,p,StrGlo,Apr,Aug,Dec,Feb,Jan,Jul,Jun,Mar,May,Nov,Oct,Sep,Weekday_0,Weekday_1,Weekday_2,Weekday_3,Weekday_4,Weekday_5,Weekday_6,1.5km_green,1km_green,500m_green,200m_green,1.5km_trees,1km_trees,500m_trees,200m_trees,WD,WVv,WVs,Hr,NO2_tomorrow
50,50,2012-02-20,13417.0,Zch_Stampfenbachstrasse,15.02,35.79,30.76,41.56,63.13,0.0,15.09,,0.38,3.25,,0.0,1.16,2.98,978.84,120.7,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,7471,4473,1611,132,9115,4054,1419,152,46.17041666666666,2.2125,2.2270833333333333,65.57791666666667,64.57
51,51,2012-02-21,14215.0,Zch_Stampfenbachstrasse,43.11,64.57,68.33,18.71,49.01,0.0,35.6,,0.57,4.92,,0.0,-0.01,3.6,979.68,119.7,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,7471,4473,1611,132,9115,4054,1419,152,71.5575,0.9575,0.9966666666666666,67.72416666666668,73.57
52,52,2012-02-22,10376.0,Zch_Stampfenbachstrasse,43.44,73.57,73.3,8.55,27.33,0.0,53.51,,0.71,4.63,,0.0,1.08,5.82,978.22,142.74,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,7471,4473,1611,132,9115,4054,1419,152,109.89708333333334,1.3883333333333334,1.4108333333333334,69.34875,80.28
53,53,2012-02-23,14610.0,Zch_Stampfenbachstrasse,47.77,80.28,80.28,4.55,9.83,0.0,55.14,,0.67,5.65,,0.0,3.67,6.85,976.74,45.54,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,7471,4473,1611,132,9115,4054,1419,152,201.01708333333332,0.9004166666666666,0.9220833333333333,66.52374999999999,78.83
54,54,2012-02-24,15878.0,Zch_Stampfenbachstrasse,67.09,78.83,95.01,6.88,25.94,0.0,46.93,,0.75,6.47,,0.0,7.5,13.38,977.29,145.16,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,7471,4473,1611,132,9115,4054,1419,152,218.97041666666667,0.7512500000000001,0.77625,64.655,37.49
55,55,2012-02-25,11541.0,Zch_Stampfenbachstrasse,17.8,37.49,33.88,9.93,22.99,0.0,24.6,,0.42,2.69,,38.95,6.82,8.0,973.67,35.9,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,7471,4473,1611,132,9115,4054,1419,152,245.59291666666664,0.9308333333333333,0.9920833333333333,86.19208333333334,31.62
56,56,2012-02-26,9195.0,Zch_Stampfenbachstrasse,11.41,31.62,25.69,30.73,62.23,0.0,27.2,,0.37,2.72,,258.97,5.75,6.48,972.84,50.19,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,7471,4473,1611,132,9115,4054,1419,152,136.67291666666668,1.6450000000000002,1.6758333333333333,73.19708333333334,52.87
57,57,2012-02-27,16071.0,Zch_Stampfenbachstrasse,35.58,52.87,56.17,23.4,54.48,0.0,26.18,,0.53,3.62,,29.68,5.01,8.43,975.0,156.08,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,7471,4473,1611,132,9115,4054,1419,152,91.30624999999999,1.3858333333333333,1.4083333333333332,67.24333333333333,66.69
58,58,2012-02-28,15330.0,Zch_Stampfenbachstrasse,48.11,66.69,73.45,15.81,50.19,0.0,35.22,,0.62,4.54,,0.0,5.73,11.53,974.53,144.57,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,7471,4473,1611,132,9115,4054,1419,152,205.64916666666667,0.9275000000000001,0.9704166666666666,61.850833333333334,60.2
59,59,2012-02-29,15481.0,Zch_Stampfenbachstrasse,47.93,60.2,69.91,16.05,55.5,0.0,24.11,,0.59,5.06,,0.0,8.48,14.58,973.01,156.82,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,7471,4473,1611,132,9115,4054,1419,152,53.189166666666665,1.6883333333333335,1.7029166666666666,64.72500000000001,52.44
60,60,2012-03-01,16387.0,Zch_Stampfenbachstrasse,49.86,52.44,67.4,7.83,20.69,0.0,36.47,,0.6,3.37,,0.0,8.9,14.08,972.66,141.97,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,7471,4473,1611,132,9115,4054,1419,152,156.68791666666667,1.0979166666666667,1.1433333333333333,77.27291666666666,74.08
61,61,2012-03-02,16397.0,Zch_Stampfenbachstrasse,75.93,74.08,99.61,10.35,53.08,0.0,50.7,,0.83,4.54,,0.0,10.42,17.88,973.58,157.9,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,7471,4473,1611,132,9115,4054,1419,152,211.76708333333332,0.7995833333333334,0.8441666666666667,64.0975,48.86
62,62,2012-03-03,13196.0,Zch_Stampfenbachstrasse,29.72,48.86,49.38,29.75,79.38,0.0,37.41,,0.57,4.23,,0.43,10.57,15.9,972.02,146.26,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,7471,4473,1611,132,9115,4054,1419,152,215.92708333333334,0.9279166666666666,0.9708333333333333,59.11541666666667,36.15
63,63,2012-03-04,10124.0,Zch_Stampfenbachstrasse,11.97,36.15,28.5,26.94,49.35,0.0,47.02,,0.48,3.09,,0.0,8.38,11.1,969.37,89.36,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,7471,4473,1611,132,9115,4054,1419,152,188.57833333333335,0.8916666666666666,0.9608333333333333,72.05875,26.56
64,64,2012-03-05,14131.0,Zch_Stampfenbachstrasse,7.23,26.56,19.69,50.3,69.71,0.0,21.52,,0.3,2.15,,196.72,5.19,6.73,969.73,72.39,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,7471,4473,1611,132,9115,4054,1419,152,246.18875,2.6345833333333335,2.6591666666666667,58.63916666666666,36.59
65,65,2012-03-06,14936.0,Zch_Stampfenbachstrasse,24.35,36.59,38.66,42.68,67.47,0.0,15.22,,0.37,2.72,,0.0,4.34,7.27,971.91,124.9,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,7471,4473,1611,132,9115,4054,1419,152,88.39666666666666,1.9087500000000002,1.9291666666666665,54.56708333333333,35.97
66,66,2012-03-07,15594.0,Zch_Stampfenbachstrasse,16.47,35.97,32.01,36.36,66.49,0.0,26.7,,0.36,2.88,,4.55,5.64,9.52,972.14,160.91,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,7471,4473,1611,132,9115,4054,1419,152,202.05791666666667,1.7495833333333335,1.7958333333333334,58.73583333333334,32.02
67,67,2012-03-08,15859.0,Zch_Stampfenbachstrasse,11.29,32.02,25.8,47.7,82.58,0.0,13.25,,0.33,2.03,,317.3,5.12,7.0,974.81,64.07,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,7471,4473,1611,132,9115,4054,1419,152,221.36916666666664,1.8154166666666667,1.8745833333333335,71.66083333333333,51.44
